No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
1225	mamaagi	membahagi	to divide	baagi
1226	popisuai	memisahkan	to separate	suai
1227	monontom	menakuk	to notch	tontom
1228	momutul	memenggal	to cut off	putul
1229	magarib	mengerat	to cut into small pieces	arib
1230	momogunting	menggunting	to cut (with scissors)	gunting
1231	mompurut	memetik	to pick off (fruit, flower)	purut
1232	monipu'	mematahkan	to snap, break	tipu'
1233	mamadi	memecahkan	to break apart (bread, fruit)	padi
1234	pilat, nalaput, nagaris	luka	wound, break, cut skin	pilat, laput, garis
1235	nononggoloto	retak	cracked (glass)	goloto
1236	naurak	koyak, robek, sobek	torn	urak
1237	narusak	rosak	damaged	rusak
1238	naputul	patah	broken (stick-like objects)	putul
1239	nababak	pecah	break	babak
1240	manandang	menyepak	to kick	tandang
1241	manyadu	tersandung	to stub toe	sadu
1242	mongunang	menginjak	to step on	unang
1243	nakasadu	tersandung	stubbed	sadu
1244	momobor	membuang	to throw away	bobor
1245	mamala	melempar	to throw at, pelt	bala
1246	mapabala	melemparkan	to throw	bala
1247	tumindak	memerciki	to sprinkle	tindak
1248	mangusau	mengebaskan, mengebutkan	to shake out (dust)	kusau
1249	popoambur	menghamburkan	to scatter	ambur
1250	maparambat	menebarkan (jala)	to cast (fish nets)	rambat
1251	mamasang	memasang	to install	pasang
1252	mamakai	memakai	to put on	pakai
1253	mapabanta'	meletakkan	to place	banta'
1254	mantau'	menaruh, menyimpan	to put away	tau'
1255	monutub	menutupi	to cover up	tutub
1256	popobobor	mencampak	to throw	bobor
1257	poposuang	memasukkan	to insert	suang
1258	mapasau'	membuang sauh	to cast anchor	sau'
1259	mongodong do sau'	mengangkat sauh	to weigh anchor	kodong, sau'
1260	mamaganti'	menaruh kembali	to replace	ganti'
1261	manulak	menolak, mendorong	to push	tulak
1262	mangadut	mencubit	to pinch	kadut
1263	mamaga'	memeras	to squeeze	paga'
1264	momojojok	menekan	to press	jojok
1265	kinojojokon	tekanan	pressure	jojok
1266	popolasut	mendorong ke samping	to shove aside	lasut
1267	popoapi'	menerobos	to shove through, break in	api'
1268	momoginsir	mengalihkan	to shift (something)	ginsir
1269	poponipis	memipihkan	to flatten, make thin	nipis
1270	momutar, momusing	memutar	to twist, turn	putar, pusing
1271	mongodong	menarik	to pull	kodong
1272	mongubul	mencabut	to pull out, extract	ubul
1273	mangkatu'	memetik	to pick (flower)	katu'
1274	mongubul do bulu	membului	to pluck (chicken)	ubul
1275	mongutus	menghunus	to draw (sword)	utus
1276	mongiang	menyiangi	to weed	iang
1277	mogukad	menggali	to dig	ukad
1278	monolon	menelan	to swallow	tolon
1279	monyiop	menghisap	to suck, inhale	siop
1280	mamigis	menyadap	to tap (tree)	pigis
1281	momutung do gatah	menoreh getah	to tap rubber	putung
1282	mamagakut	mengikat	to tie up	gakut
1283	momongkos	mengikat jadi satu	to tie in bundle	bongkos
1284	momolopot	membungkus	to wrap up	lopot
1285	mongintal	memintal (tali)	to roll, twist (string)	intal
1286	momolikou	menggulung	to roll up	likou
1287	mamalingkuk	membengkokkan	to bend (tr.)	lingkuk
1288	maguyad	menguraikan, membuka ikatan	to untie	uyad
1289	mangurau, momungkar	membongkar, membuka	to dismantle	urau, bungkar
1290	mogikam	mengorek	to dig up	ikam
1291	koiso tutub, poimbuka	membentangkan (tikar)	to open out, spread (mat, rug)	buka
1292	monutub	terbuka	uncovered	tutub
1293	tutub	menutup	to close	
1294	kalat	tutup	lid	
1295	tali	tali (kasar)	rope, string	
1296	gantian	tali (kecil)	thin string	
1297	popotukid	memberikan, membagikan	to give out	tukid
1298	manaak	memberi	to give	taak
1299	popotaak	menyerahkan	to hand over	taak
1300	mamaagi	membahagi	to divide	baagi
1301	popoolos	meminjamkan	to lend, loan (money, food)	olos
1302	popoumboyo'	mempercayakan	to entrust	umboyo'
1303	monyumad	memberi makan	to feed	sumad
1304	mogolos	meminjam	to borrow	olos
1305	mogutang	berhutang	to owe	utang
1306	monyuli' do utang	membayar hutang	to pay a debt	suli'
1307	mambayar	membayar	to pay	bayar
1308	utang	hutang	debt	
1309	mantagi	menagih	to demand payment	tagi
1310	mogugutang	orang yang berhutang	debtor	utang
1311	rasit, risit	resit	receipt	
1312	ulun popoutang	orang perhutangan, penagih	creditor	utang
1313	inutangan	pinjaman	loan (sum of money)	utang
1314	nabayaran	lunas	paid	bayar
1315	magalap	mengambil	to take	alap
1316	monimung	mengumpulkan	to gather	timung
1317	mantakou	mencuri	to steal	takou
1318	magaau	merampas	to rob, grab	aau
1319	monyaluk	mencopet	to pickpocket	saluk
1320	manyambut, momorakop	menangkap (bola)	to catch (ball)	sambut, rakop
1321	mamarakop	menangkap (orang)	to seize (person)	rakop
1322	magaau	mencekau, merebut	to grab, seize	aau
1323	mangurung	menculik	to kidnap	kurung
1324	barang rinampasan	barang rampasan	booty	
1325	tinakawan	curian	stolen thing	takou
1326	pinanaak	derma, sumbangan	donation	taak
1327	tingadan	hadiah	gift	
1328	mamawaris	mewariskan	to bequeath	waris
1329	warisan	ahli waris	heir	
1330	moningadan	mengganjar	to reward	
1331	gaji'	upah	wages	
1332	motoluod	bermurah hati	generous	toluod
1333	poposara	mengorbankan	to sacrifice (something)	sara
1334	popolubuk	mempersembahkan	to sacrifice to God	lubuk
1335	momolulas	menghapus	to rub out, erase	lulas
1336	mangkapu	menyapu	to sweep	kapu
1337	momiid	menyeka	to wipe	piid
1338	popokilat	menyemir	to polish	kilat
1339	mongutab	mengebut	to dust	kutab
1340	mamagasa'	menggosok	to rub	gasa'
1341	popotuyu'	membersihkan	to clean up	tuyu'
1342	momoliung	mencuci (cawan, dll)	to wash (cups, etc.)	liung
1343	minjagup	mencuci muka	to wash (face)	injagup
1344	mimpaju	mandi	to bathe, take a bath	paju
1345	mamaju	memandikan	to bathe someone	paju
1346	mompupu	mencuci pakaian	to launder clothes	pupu'
1347	sabun	sabun	soap	
1348	pomumupu' do abuk	ubat pencuci rambut, syampu	shampoo	pupu'
1349	mompupu' do abuk	berlangir, mencuci rambut	to wash hair	pupu'
1350	mamarus do dipon	menggosok gigi	to clean teeth	barus
1351	moonsoi	baik	good	onsoi
1352	mosongon	indah	beautiful (things)	songon
1353	mosongon	cantik	beautiful (person)	songon
1354	matandig, matandon	kacak	handsome	tandig, tandon
1355	maraat	jelik, buruk	bad, ugly	raat
