No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
1	Pamagunan	Dunia	World	
2	Tana'	Bumi	Earth	
3	Kointutunan do pamagunan	Ciri bumi	Geographical features	
4	Barang	Bahan mentah	Materials	
5	Timug	Air	Water	
6	Kawanan	Langit	Sky	
7	Kointutunan do kawanan	Cuaca	Weather	
8	Waktu'	Waktu	Time	
9	Susumundu	Tumbuh-tumbuhan	Flora	
10	Kosomuaan	Umum	General	
11	Katataunan	Pohon-pohonan	Trees	
12	Bua-buaan	Buah-buahan	Fruits	
13	Kinotuan	Sayur-sayuran	Vegetables	
14	Bunga'	Bunga-bunga	Flowers	
15	Susumundu monini'	Tanaman kecil	Smaller plants	
16	Kasila'	Umbi-umbian	Tubers	
17	Lulu-luluan	Binatang	Animals	
18	Kosomuaan	Umum	General	
19	Sisiog	Burung	Birds	
20	Kana'	Ikan	Fish	
21	Lulu manungkamang	Binatang reptilia	Reptiles	
22	Lulu mapatiti (Maganak)	Binatang menyusui	Mammals	
23	Bubuong	Serangga	Insects	
24	Inan	Tubuh	Body	
25	Langadan inan	Susunan tubuh secara umum	General body system	
26	Ulu	Kepala	Head	
27	Inan	Tubuh manusia	Trunk	
28	Dinanas inan	Anggota tubuh	Limbs	
29	Kalimanan	Pancaindera	Senses	
30	Rasa'	Kesihatan	Health	
31	Kopoposio'	Kehidupan, kelahiran	Life, birth	
32	Kasikapan	Sikap, perbuatan	Postures, actions	
33	Ula	Berbaring, berdiri, duduk	Lying, standing, sitting	
34	Modop, tumudau	Tidur, bangun	Sleep, awake	
35	Bakaraja', mundorong	Bekerja, beristirahat	Working, resting	
36	Minsud, mugad	Bepergian	Going	
37	Angayan	Arah gerakan	Directional motions	
38	Mongibit	Bawa	Carry	
39	Momobog	Pukul, potong, rosak, pecah	Hit, cut, break	
40	Surung, kodong, bobor, banta'	Tolak, tarik, buang, taruh	Push, pull, throw, put	
41	Mamagakut, monutub	Ikat, tutup	Tie, cover	
42	Manaak, magalap	Beri, ambil	Give, take	
43	Mamagasa', mompupu	Perasaan, penilaian	Emotions, evaluations	
44	Moonsoi, maraat	Baik, tidak baik; jahat	Good, bad	
45	Banar, sala'	Benar, salah	True, false	
46	Mau', maalap	Mahu, dapat	Want, able	
47	Poingaso, susa' guang	Senang, susah	Happy, sad	
48	Guminawo, bansi'	Cinta, benci	Love, hate	
49	Kalaa'	Ketakutan	Fear	
50	Kaparuan	Kerajinan	Industriousness	
51	Kadariwaan nu guang	Kerendahan hati	Humility	
52	Kopitorubungan	Komunikasi	Communication	
53	Boros, gia'	Cakap	Speaking	
54	Monulis	Menulis	Writing	
55	Upis nu surat	Pejabat pos	Post office	
56	Sinikulan	Pendidikan	Education	
57	Kopongongkutan	Pengangkutan	Transportation	
58	Pogiuman	Mata pencarian	Livelihood	
59	Pomuntanaman	Pertanian	Farming	
60	Pamarakapan do kana'	Penangkapan ikan	Fishing	
61	Panyambangan	Perburuan	Hunting	
62	Poninggaman	Peternakan	Livestock raising	
63	Pakakas	Alat-alat	Tools	
64	Manambir, mamatu	Menjahit, menganyam	Sewing, weaving	
65	Katataunan	Perkayuan	Carpentry	
66	Pakakaraja'	Buruh	Hired labor	
67	Pangasuhan	Pengubatan	Medicine	
68	Koimangan bokon	Pekerjaan lain	Other occupations	
69	Akanon	Makanan	Food	
70	Koposodiaan - kanon	Persiapan - nasi	Preparation - rice	
71	Koposodiaan - natok	Persiapan - sagu	Preparation - sago	
72	Inansak	Masakan	Cooking	
73	Apui	Api	Fire	
74	Pakakas do magansak	Alat-alat masak	Cooking utensils	
75	Akanon	Makanan	Foods	
76	Rampa-rampaan	Rempah-rempah	Seasonings	
77	Makan	Makan	Eating	
78	Roso	Rasa-rasa	Flavors	
79	Sigup, pinang, arak	Tembakau, pinang, minuman keras	Tobacco, betel, liquor	
80	Sompimamagun	Masyarakat	Society	
81	Kopinsano'	Sanak keluarga	Relatives	
82	Pialanan nu gia'	Kata ganti	Pronouns	
83	Katarangan nu sompimamagun	Struktur masyarakat	Social structure	
84	Bansa'	Suku bangsa	Ethnic groups	
85	Kosoimpimamagun	Kemasyarakatan	Social interaction	
86	Piiwalan	Perselisihan	Strife	
87	Ukum	Hukum	Law	
88	Lumba'	Sukan	Sports	
89	Pogumbayaan, koimangan	Agama, kesenian	Religion, arts	
90	Pogumbayaan Koristian	Agama Kristian	Christianity	
91	Silam	Islam	Islam	
92	Pogumbayaan	Animisma	Animism	
93	Pamainan do lulumagu'	Muzik	Music	
94	Sayau, wayang	Tarian, drama	Dancing, drama	
95	Lukisan	Lukisan	Drawing, painting	
96	Rata'	Harta milik	Possessions	
97	Padagangan	Perdagangan	Commerce	
98	Makaya, misikin	Kaya, miskin	Wealthy, poor	
99	Sosolinon	Pakaian	Clothing	
100	Baloi	Perumahan	Housing	
101	Kosukupan baloi	Perabot	Furniture	
102	Kauraian	Penguraian	Descriptives	
103	Numbur	Angka	Numbers	
104	Kopongiraan	Ilmu hitung	Arithmetic	
105	Kosukatan	Ukuran	Measurements	
106	Putungan	Bentuk	Shapes	
107	Banta'	Posisi	Positions	
108	Warana'	Warna	Colors	
109	Rupa' solura'	Keadaan luar	Surface conditions	
110	Rupa'	Keadaan	States	
111	Linasu'	Panas	Heat	
112	Koijauan	Kecepatan	Speed	
113	Kapandayan do boros	Ilmu bahasa	Linguistics	
114	Kogumuan nu gia'	Jenis Kata	Word classes	
115	Gia' do kapamaraan	Kata keterangan	Adverbs	
116	Gia' poimpogulu'	Kata depan	Prepositions	
117	Gia' kisambung	Kata sambung	Conjunctions	
118	Gia' ajap	Kata seru	Interjections	
119	Gia' uot	Kata tanya	Interrogatives	
120	Pasangan nu paguntaban	Penjodoh bilangan	Classifiers	
121	tana'	tanah	earth, soil	
122	ogod	debu, habuk	dust	
123	abu	abu	ashes	
124	sakatul tana'	segumpal tanah	clod	katul
125	losok	lumpur	mud	
126	tana' pilit	tanah liat	clay	
127	agis	pasir	sand	
128	tana' kibatu	tanah berbatu-batu	gravelly soil	
129	pomogunan	dunia	earth	pagun
130	batu bolinsou-linsou	kerikil	gravel	linsou
131	batu	batu	stone	
132	batu karang	batu karang	coral	
133	komotidangan	pegunungan	highlands	motidong
134	pegunungan	darat	interior	
135	gana'	dataran rendah	lowlands	
136	isan daat	daerah pesisir	coastal region	
137	tana' marantai	tanah datar	plains	
138	tana' pointamui do kuala	delta	delta	
139	bawang	sungai	river	
140	lupok	danau	lake	
141	lautan	laut	sea	laut
142	lautan dalom	samudera, lautan	ocean	
143	pulou	pulau	island	
144	tamui, pointamui	semenanjung	peninsula	
145	koogisan	padang pasir	desert	agis
146	suok	lembah	valley	
147	motidong sawat	gunung	mountain	
148	motidong doriwo'	bukit	hill	
149	tabing	tebing, tubir	cliff	
150	olot	celah	crevice	
151	tiniris	lereng	slope	
152	ruak batu	gua	cave	
153	lungkabui	rawa	swamp	
154	tamui	tanjung	cape	
155	luok	teluk	bay	
156	buruok	gunung berapi lumpur	mud-volcano	
157	basi'	besi	iron	
158	tambaga'	tembaga merah	copper	
159	pirok	perak	silver	
160	amas	emas	gold	
161	aluminium	aluminium	aluminum	
162	andurai	timah hitam	lead	
163	nikel	nikal	nickel	
164	sing, jing	zink	zinc	
165	platina	platina	platinum	
166	tambaga'	kuningan	brass	
167	balirang	belerang	sulphur	
168	batu	batu	stone	
169	agis	pasir	sand	
170	batu bolinsou-linsou	kerikil	gravel	
171	batu kodou	batu granit	granite	
172	batu puang	batu pualam, marmar	marble	
173	basi-basian	logam	metal	
174	basi' barani'	besi berani	magnet	
175	batu rogo	batu permata	precious stone	
176	batu bata	batu bata	brick	
177	simin	simen	cement	
178	apug	kapur	lime	
179	tataun	kayu	wood	
180	saat	cat	paint	
181	umau	minyak	oil	
182	umau palamog	minyak pelincir	lubricating oil	
183	umau tana	minyak tanah	kerosene	
184	binjin	bensin	gasoline, petrol	
185	polopou	arang	charcoal	
186	konoon kapas	kain kapas	cotton cloth	
187	bulu kambing biri-biri	bulu biri-biri	wool	
188	sutara	sutera	silk	
189	nilon	nailon	nylon	
190	konoon	berbagai kain	all kinds of cloth	
191	pakaian	kain baju	clothes	
192	timug	air	water	
193	mato timug, rasayan	mata air	spring	
194	bawang monini'	sungai kecil	creek, stream	
195	bawang	sungai	river	
196	anak bawang	anak sungai	tributary	
197	simpangan bawang	cabang sungai	fork of a river	
198	papas	saluran, parit, taliair	canal, irrigating ditch	
199	lingkuong	lubuk	deep place in river	
200	timug tumuru'	air terjun	waterfall	
201	rumuab	air pasang	high tide	
202	umasak	air surut	low tide	asak
203	asak	surut	low tide	
204	lunas bawang	induk sungai	main river	
205	isan daat	tepi laut	shore	
206	isan bawang	tepi sungai	bank	
207	mampalakun	gelombang	big wave	lakun
208	lakun	ombak	wave	
209	riak	riak	small wave, ripple	
210	lupok	danau	lake	
211	kulam	kolam	pond	
212	lungkabui	rawa	marsh, swamp	
213	torobong	perigi, sumur	well	
214	lolobuon	lopak	puddle	
215	lolobuon	kubangan	mud-hole, buffalo wallow	
216	tadu	tenang	calm	
217	mosolog	deras	fast flowing	
218	arus	arus	current	
219	lumulun	mengalir	to flow	lulun
220	lumabai	meluap	to overflow	labai
221	sumonod	mengendap	to settle	sonod
222	sinonop	endapan	sediment	sonod
223	tumolop	menyelam	to submerge, to dive	tolop
224	nolosod	tenggelam	drowned	losod
225	puun rasayan	sumber mineral	mineral spring	
226	rasayan malasu	sumber air panas	hot spring	
227	inukadan	mineral	mineral	
228	liud	banjir	to flood	
229	lumabui	mengapung	to float	labui
230	sumadui	berenang	to swim	sadui
231	timug monior	air bersih	clear water	
232	timug molobou	air kotor	muddy water	
233	maribau	dangkal	shallow	ribau
234	tumias	memercik	to splash, to splatter	tias
235	maasa'	basah	wet	asa'
236	makala'	kering	dry	kala'
237	malamog	licin	to be slippery	lamog
238	lumandai	meluncur	to slide	landai
239	notombol, nosonsong	macet	blocked up	tombol, sonsong
240	kawanan	langit	sky	
241	tatai' ribut	mega, awan putih	white cloud	
242	ribut	mendung	cloudy	
243	matuong, motuong	gelap	dark	tuong
244	malangga'	cerah	bright, clear	langga
245	morondom'	gelap	dark	rondom
246	rondom kinatok	gelap-gulita	pitch dark	
247	mato odou kigarou	matahari bersinar	to be sunny	
248	manyampui	bertiup	to blow	sampui
249	masarui ambus ribut(?)	angin sepoi-sepoi	cool breeze	
250	ribut			
251	kilinuub	tempat yang teduh	shade	
252	maluub	teduh	shady	
253	mato odou	matahari	sun	
254	odou sumilau	matahari terbit	sunrise	
255	odou tumonob	matahari turun/terbenam	sunset	
256	bulan	bulan	moon	
257	bintang	bintang	star	
258	tinting baliung	pusaran angin	whirlwind	
259	tinuong	awan	raincloud	
260	dasam	hujan	rain	
261	matuong	awan hitam	dark cloud	
262	boluntung	pelangi	rainbow	
263	planit	planit	planet	
264	ambun	kabut	mist, fog	
265	mato odou tolonon	gerhana matahari	solar eclipse	tolon
266	bulan tolonon	gerhana bulan	lunar eclipse	tolon
267	bulan tawang	bulan purnama	full moon	
268	katang	bulan sabit	crescent moon	
269	bulan tonob	bulan gelap	dark of the moon (new moon?)	
270	bulan kipayung	lingkaran cahaya bulan	lunar halo	
271	rimbutuon	gugusan bintang	constellation (stars)	
272	pupuruh		group of 7 stars (Great Bear ?) - Ursa Major (?)	
273	rimbutuon balatik		arrow stars (name:?)	
274	dasam	hujan	rain	
275	mamaris	gerimis	drizzle	
276	taduan dasam	hujan reda	end of rain	tadu
277	ribut	angin	wind	
278	ribut daras	angin ribut	windstorm	
279	mamparibut	badai	rainstorm	ribut
280	tinggoron	guntur	thunder	
281	musim	musim	season	
282	dasam dangan ribut	hujan ribut	storm	
283	mandasam	musim hujan	rainy season	dasam
284	mamparibut	musim berangin	stormy season	ribut
285	ganit	kilat	lightning	
286	malasu'	panas	hot	lasu'
287	masarui	dingin	cold	sarui
288	masimu'	sejuk	cool	simu'
289	liud	banjir	flood	
290	malasu'	hangat	warm	lasu'
291	mogodou	kemarau	drought	odou
292	tangadou	siang	noon	odou
293	duang odou	waktu siang	during the day	
294	jaam	jam	hour	
295	satanga odou	setengah hari	half-day	
296	masuab	pagi	morning	suab
297	milalangga'	subuh	dawn	langga'
298	awal-awal milalangga'	pagi-pagi benar	early in the morning	
299	milalangga'	dinihari	2-4 am	
300	sumilau odou	matahari terbit	sunrise	silau
301	malangga'	terang	light	langga'
302	masuab	agak siang	mid-morning	suab
303	tampak odou	tengahari	(high) noon	
304	pulid odou	siang	early afternoon	
305	gumoi'	petang	late afternoon	goi'
306	tumonob odou	matahari turun/terbenam	sunset	tonob
307	rumondom	menjadi gelap	darkening	rondom
308	morondom banar	sangat gelap	very dark	
309	morondom	malam	night	rondom
310	duong morondom	pada malam hari	at night	
311	tanga' morondom	tengah malam	midnight	
312	do koniab i	kelmarin dahulu/dulu	day before yesterday	
313	nataluan o	tiga hari yang lalu	three days ago	talu
314	nabuubuoi o	beberapa hari yang lalu	the other day	buoi
315	do goi' i	kelmarin, semalam	yesterday	
316	do morondom i	malam semalam, tadi malam	last night	
317	morondom do koniab i	kelmarin dahulu malam	night before last	
318	do odou diti	hari ini	today	
319	suab	esok, besok	tomorrow	
320	pulid odon do suab	(b)esok petang	tomorrow afternoon	
321	pulid odou diti	petang ini	this afternoon	
322	lapas duan kataluan	beberapa hari kemudian	several days later	
323	suab miso	lusa	day after tomorrow	
324	suab samaman	(b)esok lusa	2 days after tomorrow	
325	bulan	bulan	month	
326	musim	musim	season	
327	do bulan loid i	bulan yang lalu	last month	
328	timpuunon	awal bulan	beginning of the month	timpuun nu bulan
329	bulan diti	bulan ini	this month	
330	bulan miso	bulan depan	next month	
331	taun	tahun	year	
332	taun loid i	tahun yang lalu	last year	
333	taun diti	tahun ini	this year	
334	taun miso	tahun depan	next year	
335	do timpuun i	pada permulaan	in the beginning	
336	nabuoi o	dahulu, dulu	long ago	buoi
337	do loid i	zaman dahulu	ancient times	
338	koiso (ko'iso?)	pertama	first	
339	do mulaan	dahulu, dulu	formerly	
340	pogulu' (kaa po)	sebelum	before	
341	do singkoit	sekarang	now	
342	ontok do singkoit	zaman sekarang	these days	
343	pogulu' mu mongoi	sebelum engkau pergi	before you go	
344	sabantar	sebentar lagi	in a moment	
345	do dino i	baru saja	just now	
346	lapas	sesudah	after	
347	do touri	kemudian	later on, then	
348	air po	akhirnya	eventually	
349	awal, maawal	terlalu cepat; awal	early	
350	lambat, natauri	terlambat	late	
351	intob odou	setiap hari	every day	
352	soumur-umur	sepanjang hari	all day	
353	maagab	segera	immediately	agab
354	agaban	segerakan	soon to	
355	salalu'	selalu	always	
356	masarok	sering	often	sarok
357	jarang	jarang	seldom	
358	saumur-umur, sabuubuoi	selamanya	forever	
359	matuo	tua	old	tuo
360	komotutuaan	kuno	ancient	tuo
361	baagu	baru saja	new	
362	mabuoi	lama	long time	
363	sabantar, moduruk	sebentar	short time	
364	ari bulan	penanggalan	calendar	
365	ari bulan Silam	penanggalan hijrah	Islamic calendar	
366	jaam	jam	hour	
367	minit	minit	minute	
368	titik	saat; detik	second	
369	jaam	jam	clock	
370	jaam longon	jam tangan	wrist watch	
371	jaam panyadar	jam loceng, weker	alarm clock	
372	jarum jaam, longon jaam	jarum jam	hour hand	
373	mangunsi'	memutar (jam)	to wind (watch)	kunsi
374	mapasain	mengakurkan (jam)	to set (watch)	sain
375	odou	hari	day	
376	minggu'	minggu	week	
377	hari satu	Isnin	Monday	
378	hari dua	Selasa	Tuesday	
379	hari tiga	Rabu	Wednesday	
380	hari ampat	Khamis	Thursday	
381	hari lima	Jumaat	Friday	
382	hari anam	Sabtu	Saturday	
383	hari minggu	Ahad	Sunday	
384	bulan	bulan	month	
385	bulan Satu	Januari	January	
386	bulan Dua	Februari	February	
387	bulan Tiga	Mac	March	
388	bulan Ampat	April	April	
389	bulan Lima	Mei	May	
390	bulan Anam	Jun	June	
391	bulan Tuju	Julai	July	
392	bulan Lapan	Ogos	August	
393	bulan Sombilan	September	September	
394	bulan Sopuluh	Oktober	October	
395	bulan Sabalas	November	November	
396	bulan Duabalas	Disember	December	
397	taun	tahun	year	
398	taun tindak	tahun kabisat	leap year	
399	kira-kira' waktu diti	kira-kira waktu ini	approximately this time	
400	kira-kira' do tauri	kira-kira nanti	approximately then	
401	kira-kira songgian	kira-kira bila	approximately when?	
402	puun tataun	pokok, pohon	tree	
403	batang/guas tataun	batang kayu	log	
404	bakat	akar	root	
405	tuod	tunggul	stump	
406	puun tuod	batang pohon	trunk	
407	untu	pucuk	treetop	
408	kisimpang	bercabang dua	fork	simpang
409	simpang	cabang	bough	
410	daan	dahan	branch	
411	ranggas	ranting	twig	
412	kulit tataun	kulit kayu	bark	
413	daun	daun	leaf	
414	salingkawang	paku, pakis	fern	
415	pulut	getah	sap	
416	salong	damar	resin	
417	talid	tunas	bud	
418	busak	kuntum	flower bud	
419	busak bunga'	bunga	flower	
420	tanggayan	tangkai	stalk, stem	tanggai
421	linsou	biji	seed (in fruit)	
422	bibit	bibit, benih	seed (for planting)	
423	bua'	buah	fruit	
424	kilinsou	buah berbiji	fruit with seed	linsou
425	bungkal	sabut	husk	
426	kulit bua'	kulit buah	rind, skin	
427	mato tataun	mata kayu	knot	
428	dui'	duri	thorn	
429	ogod	miang	stinging hair (on leaves)	
430	manangubus	bertunas	sprout	ubus
431	sumundu	tumbuh	to grow	sundu
432	naansak	masak	ripe	ansak
433	mamata'	mentah	unripe	mata'
434	masapou bua	lebat	laden with fruit	sapou
435	uraung	benang sari	stamen	
436	binat busak	putik bunga, pistil	pistil	
437	puun gatah	pokok getah	rubber tree	
438	totoun aru'	pokok ru, cemara laut	casuarina tree	
439	guas nunuk	pokok beringin	banyan tree	
440	guas/puun kapuk	pokok kapok	kapok tree	
441	guas rumbia	pokok sagu, rumbia	sago palm	
442	puun pinang	pokok pinang	betel palm	
443	puun piasau	pokok kelapa, nyiur	coconut palm	
444	puun/guas kabaung	pokok asam	tamarind tree	
445	kadingau	pokok kayu manis	cinnamon tree	
446	puun mangga	pokok mangga	mango tree	
447	puun dalit	pokok durian	durian tree	
448	guas nunuk	pokok ara	fig tree	
449	guas kanari	pokok kenari	walnut tree	
450	guas balsa	pokok kayu balsa	balsa tree	
451	guas sandana	pokok cendana	sandalwood tree	
452	guas tataun basi'	pokok kayu besi	ironwood tree	
453	guas tataun matoa	pokok kayu matoa	matoa tree	
454	guas kasukun	pokok sukun	breadfruit tree	
455	puun kapayas	pokok papaya/betik	papaya tree	
456	guas dudungu'	pokok pisang	banana tree	
457	guas adpokat	pokok adpokat	avocado tree	
458	guas kurma, ruma'	pokok kurma	date palm	
459	guas tongor	pokok bakau	mangrove tree	
460	puun pandan	pokok pandan	pandanus tree	
461	guas cangki	pokok cengkih	clove tree	
462	guas kina'	pokok kina	cinchona tree	
463	guas tataun jati	pokok kayu jati	teak tree	
464	guas bua' susu	pokok kayu susu	milkwood tree	
465	guas kirai	pokok nipah	thatch palm	
466	guas saradang	pokok lontar	palmyra palm	
467	guas pala	pokok pala	nutmeg tree	
468	batang gula'	pokok enau, pokok aren, kabung	sugar palm	
469	udong alau, dangalau	rambutan	rambutan	
470	kapayas	papaya, betik	papaya	
471	piasau	kelapa	coconut	
472	bolimbing	belimbing	starfruit	
473	dudungu'	pisang	banana	
474	mangga'	mangga	mango	
475	pandan nanas	nanas	pineapple	
476	bua' jagus	gajus, jambu monyet	cashew nut	
477	biabas	biawas, jambu biji	guava	
478	bua' delima	delima	pomegranate	
479	bua' anggur	anggur	grape	
480	nangko	nangka	jackfruit	
481	limau	limau/jeruk manis	orange	
482	onsom kalapis	jeruk limun	lemon	
483	onsom kalapis	limau nipis	lime	
484	kabaung	limau abung, jeruk bali	pomelo, shaddock	
485	tumatu, tamatus	tomat	tomato	
486	ceri	ceri	cherry	
487	bua' manggis	manggis	mangosteen	
488	tabarus	asam	tamarind	
489	dalit	durian	durian	
490	sukun	sukun	breadfruit	
491	cikui, kaduit	tembikai, melon, semangka	watermelon	
492	nunuk	ara	fig	
493	bua' pala	buah pala	nutmeg	
494	lampun labuan	durian belanda, sirsak	soursop	
495	kismis	kismis	raisin	
496	epal	apel	apple	
497	sansam	bayam	spinach	
498	ambawang maria'	bawang merah	onion	
499	ambawang mapurak	bawang putih	garlic	
500	kasang	buncis	beans	
501	gandum	jagung	corn, maize	
502	kulat	jamur, kulat	mushroom	
503	sangkung	kangkung	kind of spinach (water spinach)	
504	kasang gadung	kacang buncis	green peas	
505	kasang gawad	kacang panjang	string beans	
506	sangop	timun, ketimun, mentimun	cucumber	
507	kubis	kobis, kol	cabbage	
508	kubis bunga'	kobis bunga, kol kembang	cauliflower	
509	ambawang ligiu	kucai	leek	
510	labu	labu	pumpkin	
511	tawadak	labu siam	squash	
512	lubak	lobak	radish	
513	sasai	pecai	chinese cabbage	
514	abung	rebung	bamboo shoot	
515	sasai tomou	sawi	mustard greens	
516	sasambalon	selada	lettuce	
517	sasambalon timug	selada air	water cress	
518	taugi	tauge	beansprouts	
519	kingkirung	terung	eggplant	
520	lado	cili, cabai, lombok	red pepper	
521	tumatus	tomat	tomato	
522	lukasing	kacang tanah	peanut	
523	kasang soya	kacang soya, kacang kedelai	soybean	
524	kasang ria'	kacang merah	red bean, kidney bean	
525	bunga tatau	okid, anggerik	orchid	
526	bunga pangkat	bunga raya, bunga sepatu	hibiscus	
527	bunga rus	bunga mawar	rose	
528	bunga malati	bunga melati	jasmine	
529	bunga kembang bulan	kembang bulan	marigold	
530	bunga matahari, bunga mato odou	bunga matahari	daisy	
531	bunga bakung	bunga bakung	lily	
532	kamboja	kemboja	plumeria, frangipani	
533	bunga taratai	telepuk, teratai, seroja	lotus	
534	bunga sampaka	cempaka	frangipani; gardenia	
535	paring	bambu, buluh	bamboo	
536	owoi	rotan	rattan	
537	bilod	padi	rice	
538	daing	sirih	betel	
539	sakot	rumput	grass	
540	kumpai	rumput liar	weed	
541	sigup	tembakau, sigup	tobacco	
542	tabu'	tebu	sugarcane	
543	paring		bamboo (big)	
544	balui		bamboo (smaller)	
545	sumbiling		bamboo (smallest)	
546	tabu' sala'	alang-alang	elephant grass	
547	jolingut	lumut	moss	
548	mulok	belukar	underbrush	
549	karasansang, salidaan	pasilan, benalu	parasite, mistletoe	
550	nila'	tarum, nila	indigo	
551	kapas	kapas	cotton	
552	tii	teh	tea	
553	kupi'	kopi	coffee	
554	kasila'	umbi	tuber	
555	kasila' bakag	ubi keledek, ubi jalar	sweet potato	
556	malau	keladi	taro	
557	kasou	talas	kind of taro	
558	ubi gantang	kentang	potato	
559	kasila' tataun	ubi kayu, kasbi, singkong	manioc, cassava	
560	kasila' gula', sangkuang(?)	ubi bit	beet	
561	lulu-luluan	binatang	animal	
562	andu', maganak	betina	female (animal)	
563	kusoi	jantan	male (animal)	
564	ambat-ambat	jodoh	to mate	
565	pampalan, balungan	sarang	nest	
566	antalu'	telur	egg	
567	monyumad	memberi makanan	to feed	sumad
568	magunggali'	mengembiri	to castrate	unggali
569	masiau	liar	wild	siau
570	makaup	jinak	tame	kaup
571	magamut	mengeram	to sit on eggs	amut
572	mingkukuruuk	berkokok	to crow (rooster)	kukuruuk
573	magansul	berkicau	to chirp, twitter, warble	ansu
574	manyungul	menanduk	to gore	sungu
575	sungu'	tanduk	horns	
576	janggut	tanduk perasa	feelers	
577	jungur	belalai	proboscis of insect	
578	ikiu	ekor	tail	
579	bulu	bulu	fur, feathers	
580	sisi'	sisik	fish scales	
581	sungar	moncong	snout	
582	sirik	sirip	fin	
583	pimpili	balung	comb of rooster	
584	atad	susuh; taji	cockspur	
585	bulu sisiog	bulu burung	feathers	
586	bulu asu	bulu anjing	dog's fur	
587	tutuk	paruh	bill	
588	asang	insang	gill	
589	alad	sayap	wing	
590	tumulud	terbang	to fly	tulud
591	momimpir	bergeliang-geliut	to wriggle	pimpir
592	mamatuk	mematuk	to peck	patuk
593		burung kasuari	cassowary	
594	kandawai	burung bangau	stork, heron, egret	
595	bangkaak	burung gagak	crow	
596	turipos	burung kenari	canary	
597	kiking	burung beo	black parrot, myna	
598	kandiu	burung helang/lang, rajawali	eagle	
599	pirit	burung pipit	sparrow	
600	puok	burung hantu	owl	
601	luung	burung dahu (bangau)	stork	
602	kandawai	bangau	white stork	
603	asang, punai	burung merpati, burung dara	pigeon, dove	
604	bangau	bangau	egret?	
605	kandiu ria'	burung helang	hawk	
606	turipos	burung kakatua	cockatoo	
607	ansa', patu	angsa	goose, swan	
608	susuit	burung kolibri	hummingbird	
609	tangkuluk pisau	burung layang-layang	swallow	
610	tutuk balatuk	burung pelatuk	woodpecker	
611	kuju'	burung puyuh	quail	
612	takukur	takukur (tekukur?)	a kind of dove	
613	manambun	unggas	fowl	
614	baulun	burung cenderawasih	bird of paradise	
615	turipos	burung nuri	colored parrot	
616	tantaruk	burung pegar	pheasant	
617	manuk	ayam	chicken	
618	utik	itik	duck	
619	bubut gagak		wild fowl	
620	kuruak	ayam hutan	wild chicken	
621	baulun	ayam hutan	wild chicken	
622	taruki'	ayam belanda, kalkun	turkey	
623	salasak	burung pekakak	kingfisher	
624	bibiou	merpati mahkota, mambruk	crown pigeon	
625	sangang	burung enggang, burung lilin	hornbill	
626	utik daat	belibis	small wild duck, teal	
627	bugan		diving bird	
628	silong buayo		diving bird	
629	gipan	udang karang	crayfish, lobster	
630	ipun	udang	shrimp	
631	kanji	ikan yu	shark	
632	solisip	tiram	oyster	
633	gawa'	kerang	cockle	
634	kana'	ketam, kepiting	crab	
635	tanggiri'	ikan tenggiri	mackerel	
636	kana silou ikiu	ikan ekor kuning	yellow-tail	
637	kana bilis	ikan bilis, ikan teri	anchovy	
638	sasangau	udang nanggala	lobster	
639	karang	kerang	cockle	
640	lindung	ikan belut (kecil)	eel (small)	
641	kurita	kurita, gurita	octopus	
642	sada'	ikan keli, ikan limbat	catfish	
643	lulumba'	ikan lumba-lumba	dolphin	
644	paih	ikan pari	ray	
645	basungon	ikan talang	mackerel	
646	kalabutan, sutung	cumi-cumi	squid	
647	sinsilog	ikan belut (besar)	eel (big)	
648	kana tumulud, surui	ikan terbang	flying fish	
649	ramis, kunau	kima, remis besar, kijing	clam	
650	bulangking	siput, kiong	snail	
651	ubur-ubur	ubur-ubur	jellyfish	
652	sinarang, sarang	bintang laut	starfish	
653	kana' kakap	ikan kakap	red snapper	
654	baliung-baliung	ikan gabus	pike	
655	burusak	ikan todak	swordfish	
656	kakagis	lokan	clam/shell (in mud)	
657	dalus	dalus	clam/shell (in sand)	
658	kunau	kunau	clam/shell (big)	
659	unduk-unduk	unduk-unduk	sea horse	
660	samban	ikan salem, salmon	salmon	
661	saai	katak, kodok	frog	
662	ambutid	berudu	tadpole	
663	kana' paus	ikan paus	whale	
664	parangan	ikan cucut gergaji	sawfish	
665	solunsung	ikan hering	herring	
666	duyung	duyung	sea cow, dugong	
667	tungap		white fish	
668	buayo	buaya	crocodile	
669	buayo lautan	buaya laut	marine crocodile	
670	buayo bawang	buaya air tawar	fresh-water crocodile	
671	biawak	ular kaki empat, kadal	lizard	
672	sosok	cicak	house lizard	
673	tugarang, tutugagang	tokek	gecko	
674	tugarang		brown lizard	
675	bolukun	tenggiling	scaly anteater	
676	nipo	ular	snake	
677	lapung	ular sawa	python	
678	nipo bisa	ular biludak maut	death adder	
679	panju', buu	penyu, kura-kura	turtle	
680	buu barasan	kura-kura darat	tortoise	
681	tambuakar (do laut)	ular naga	dragon (in sea)	
682	naga' (do lalom tana')	ular naga	dragon (in earth)	
683	sawong, biawak	biawak	iguana, monitor-lizard	
684	asu	anjing	dog	
685	tikus nini'	tikus	mouse	
686	tikus gayo	tikus besar	rat	
687	tikus timug	tikus air	muskrat	
688	bogok	babi	pig	
