\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
sigup,n,"tembakau, sigup",tobacco,,,,,
tabu',n,tebu,sugarcane,,,,,
paring,n,,bamboo (big),,,,,
balui,n,,bamboo (smaller),,,,,
sumbiling,n,,bamboo (smallest),,,,,
tabu' sala',n,alang-alang,elephant grass,,,,,
jolingut,n,lumut,moss,,,,,
mulok,n,belukar,underbrush,,,,,
karasansang,n,"pasilan, benalu","parasite, mistletoe",,,salidaan,,
salidaan,n,"pasilan, benalu","parasite, mistletoe",,,karasansang,,
nila',n,"tarum, nila",indigo,,,,,
kapas,n,kapas,cotton,,,,,
tii,n,teh,tea,,,,,
kupi',n,kopi,coffee,,,,,
kasila',n,umbi,tuber,,,,,
kasila' bakag,n,"ubi keledek, ubi jalar",sweet potato,,,,,
malau,n,keladi,taro,,,,,
kasou,n,talas,kind of taro,,,,,
ubi gantang,n,kentang,potato,,,,,
kasila' tataun,n,"ubi kayu, kasbi, singkong","manioc, cassava",,,,,
kasila' gula',n,ubi bit,beet,,,sangkuang(?),,
sangkuang(?),n,ubi bit,beet,,,kasila' gula',,CHECK_LX
lulu-luluan,n,binatang,animal,,,,,
andu',n,betina,female (animal),,,maganak,,
maganak,n,betina,female (animal),,,andu',,
kusoi,n,jantan,male (animal),,,,,
ambat-ambat,,jodoh,to mate,,,,,
pampalan,n,sarang,nest,,,balungan,,
balungan,n,sarang,nest,,,pampalan,,
antalu',n,telur,egg,,,,,
monyumad,,memberi makanan,to feed,sumad,,,,
magunggali',,mengembiri,to castrate,unggali,,,,
masiau,n,liar,wild,siau,,,,
makaup,n,jinak,tame,kaup,,,,
magamut,,mengeram,to sit on eggs,amut,,,,
mingkukuruuk,,berkokok,to crow (rooster),kukuruuk,,,,
magansul,,berkicau,"to chirp, twitter, warble",ansu,,,,
manyungul,,menanduk,to gore,sungu,,,,
sungu',n,tanduk,horns,,,,,
janggut,n,tanduk perasa,feelers,,,,,
jungur,n,belalai,proboscis of insect,,,,,
ikiu,n,ekor,tail,,,,,
bulu,n,bulu,"fur, feathers",,,,,
sisi',n,sisik,fish scales,,,,,
sungar,n,moncong,snout,,,,,
sirik,n,sirip,fin,,,,,
pimpili,n,balung,comb of rooster,,,,,
atad,n,susuh; taji,cockspur,,,,,
bulu sisiog,n,bulu burung,feathers,,,,,
bulu asu,n,bulu anjing,dog's fur,,,,,
tutuk,n,paruh,bill,,,,,
asang,n,insang,gill,,,,,
alad,n,sayap,wing,,,,,
tumulud,,terbang,to fly,tulud,,,,
momimpir,,bergeliang-geliut,to wriggle,pimpir,,,,
mamatuk,,mematuk,to peck,patuk,,,,
kandawai,n,burung bangau,"stork, heron, egret",,,,,
bangkaak,n,burung gagak,crow,,,,,
turipos,n,burung kenari,canary,,,,,
kiking,n,burung beo,"black parrot, myna",,,,,
kandiu,n,"burung helang/lang, rajawali",eagle,,,,,
pirit,n,burung pipit,sparrow,,,,,
puok,n,burung hantu,owl,,,,,
luung,n,burung dahu (bangau),stork,,,,,
kandawai,n,bangau,white stork,,,,,
asang,n,"burung merpati, burung dara","pigeon, dove",,,punai,,
punai,n,"burung merpati, burung dara","pigeon, dove",,,asang,,
bangau,n,bangau,egret?,,,,,
kandiu ria',n,burung helang,hawk,,,,,
turipos,n,burung kakatua,cockatoo,,,,,
ansa',n,angsa,"goose, swan",,,patu,,
patu,n,angsa,"goose, swan",,,ansa',,
susuit,n,burung kolibri,hummingbird,,,,,
tangkuluk pisau,n,burung layang-layang,swallow,,,,,
tutuk balatuk,n,burung pelatuk,woodpecker,,,,,
kuju',n,burung puyuh,quail,,,,,
takukur,n,takukur (tekukur?),a kind of dove,,,,,
manambun,n,unggas,fowl,,,,,
baulun,n,burung cenderawasih,bird of paradise,,,,,
turipos,n,burung nuri,colored parrot,,,,,
tantaruk,n,burung pegar,pheasant,,,,,
manuk,n,ayam,chicken,,,,,
utik,n,itik,duck,,,,,
bubut gagak,n,,wild fowl,,,,,
kuruak,n,ayam hutan,wild chicken,,,,,
baulun,n,ayam hutan,wild chicken,,,,,
taruki',n,"ayam belanda, kalkun",turkey,,,,,
salasak,n,burung pekakak,kingfisher,,,,,
bibiou,n,"merpati mahkota, mambruk",crown pigeon,,,,,
sangang,n,"burung enggang, burung lilin",hornbill,,,,,
utik daat,n,belibis,"small wild duck, teal",,,,,
bugan,n,,diving bird,,,,,
silong buayo,n,,diving bird,,,,,
gipan,n,udang karang,"crayfish, lobster",,,,,
ipun,n,udang,shrimp,,,,,
kanji,n,ikan yu,shark,,,,,
solisip,n,tiram,oyster,,,,,
gawa',n,kerang,cockle,,,,,
kana',n,"ketam, kepiting",crab,,,,,
tanggiri',n,ikan tenggiri,mackerel,,,,,
kana silou ikiu,n,ikan ekor kuning,yellow-tail,,,,,
kana bilis,n,"ikan bilis, ikan teri",anchovy,,,,,
sasangau,n,udang nanggala,lobster,,,,,
karang,n,kerang,cockle,,,,,
lindung,n,ikan belut (kecil),eel (small),,,,,
kurita,n,"kurita, gurita",octopus,,,,,
sada',n,"ikan keli, ikan limbat",catfish,,,,,
lulumba',n,ikan lumba-lumba,dolphin,,,,,
paih,n,ikan pari,ray,,,,,
basungon,n,ikan talang,mackerel,,,,,
kalabutan,n,cumi-cumi,squid,,,sutung,,
sutung,n,cumi-cumi,squid,,,kalabutan,,
sinsilog,n,ikan belut (besar),eel (big),,,,,
kana tumulud,n,ikan terbang,flying fish,,,surui,,
surui,n,ikan terbang,flying fish,,,kana tumulud,,
ramis,n,"kima, remis besar, kijing",clam,,,kunau,,
kunau,n,"kima, remis besar, kijing",clam,,,ramis,,
bulangking,n,"siput, kiong",snail,,,,,
ubur-ubur,n,ubur-ubur,jellyfish,,,,,
sinarang,n,bintang laut,starfish,,,sarang,,
sarang,n,bintang laut,starfish,,,sinarang,,
kana' kakap,n,ikan kakap,red snapper,,,,,
baliung-baliung,n,ikan gabus,pike,,,,,
burusak,n,ikan todak,swordfish,,,,,
kakagis,n,lokan,clam/shell (in mud),,,,,
dalus,n,dalus,clam/shell (in sand),,,,,
kunau,n,kunau,clam/shell (big),,,,,
unduk-unduk,n,unduk-unduk,sea horse,,,,,
samban,n,"ikan salem, salmon",salmon,,,,,
saai,n,"katak, kodok",frog,,,,,
ambutid,n,berudu,tadpole,,,,,
kana' paus,n,ikan paus,whale,,,,,
parangan,n,ikan cucut gergaji,sawfish,,,,,
solunsung,n,ikan hering,herring,,,,,
duyung,n,duyung,"sea cow, dugong",,,,,
tungap,n,,white fish,,,,,
buayo,n,buaya,crocodile,,,,,
buayo lautan,n,buaya laut,marine crocodile,,,,,
buayo bawang,n,buaya air tawar,fresh-water crocodile,,,,,
biawak,n,"ular kaki empat, kadal",lizard,,,,,
sosok,n,cicak,house lizard,,,,,
tugarang,n,tokek,gecko,,,tutugagang,,
tutugagang,n,tokek,gecko,,,tugarang,,
tugarang,n,,brown lizard,,,,,
bolukun,n,tenggiling,scaly anteater,,,,,
nipo,n,ular,snake,,,,,
lapung,n,ular sawa,python,,,,,
nipo bisa,n,ular biludak maut,death adder,,,,,
panju',n,"penyu, kura-kura",turtle,,,buu,,
buu,n,"penyu, kura-kura",turtle,,,panju',,
