\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
kumagut,,meretih,to crackle,kagut,,,,
nosorob,n,terbakar hangus,charred,sorob,,nakakagut,,
nakakagut,n,terbakar hangus,charred,kagut,,nosorob,,
abu,n,abu,ashes,,,,,
lisun,n,asap,smoke,,,,,
mongiop,,mengipas,to fan (fire),kiop,,,,
papaasap,,mengusir dengan asap,to smoke out,asap,,,,
nogumpu,,terbakar,to catch on fire,umpu,,nolugu,,
nolugu,,terbakar,to catch on fire,lugu,,nogumpu,,
momisok,,memadamkan,to put out (fire),pisok,,,,
kinopisakan,n,"api mati, api padam",dead fire,pisok,,,,
bunga apui,n,bunga api,spark,,,,,
porumpud,n,puntung berasap,smoldering block,,,pumpud,,
pumpud,n,puntung berasap,smoldering block,,,porumpud,,
ponidip,n,"macis, korek api",match,,,,,
ponitik,n,macis,matches (village-made),,,,,
apui pindarangan,n,api unggun,camp fire,,,,,
pilasut,n,kompor,kerosene burner,,,,,
sumbu',n,sumbu,wick,,,,,
umau gas,n,minyak tanah,kerosene,,,,,
dapuan,n,"keran, perapian, anglo","brazier, portable stove",,,karan,,
karan,n,"keran, perapian, anglo","brazier, portable stove",,,dapuan,,
nyala,,cahaya,light,,,,,
dian,n,lilin,candle,,,,,
pansasalagan,n,pemanggangan,roasting rack,salag,,,,
lanjang,n,periuk,cooking pot,,,,,
tiko,n,teko,teapot,,,,,
kitil,n,cerek,kettle,,,,,
sangkir,n,cangkir,cup,,,,,
pagadangan,n,cangkir takaran,measuring cup,,,,,
mangkuk,n,mangkuk,bowl,,,,,
galas,n,gelas,glass (container),,,,,
kuron,n,loyang,baking pan,,,,,
poriuk,n,panci,"metal pan, pot",,,,,
poriuk,n,"kuali, penggorengan",frying pan,,,pomoguringan,,
pomoguringan,n,"kuali, penggorengan",frying pan,guring,,poriuk,,
piring,n,piring,plate,,,,,
susudu,n,"sudu, senduk",spoon,sudu,,,,
susudu gayo,n,sudu makan,tablespoon,sudu,,,,
susudu nini',n,"camca, sudu teh",teaspoon,sudu,,,,
garapu,n,garpu,fork,,,,,
pisau,n,pisau,knife,,,,,
sasanduk,n,senduk,"ladle, big spoon",,,,,
julang,n,"talam, dulang",tray,,,talam,,
talam,n,"talam, dulang",tray,,,julang,,
ipang,n,tempayan,jar (big mouth),,,,,
dapu',n,,jar (small mouth),,,,,
sasagawan,n,kendi,water pitcher,,,,,
butul,n,botol,bottle,,,,,
gayung,n,"pencedok, gayung",dipper,,,,,
tutub,n,penutup,lid,,,,,
gampatan,n,"talenan, papan pengiris",chopping board,,,,,
bisin,n,"besen, baskum",basin,,,,,
balanga,n,belanga,clay cooking pot,,,,,
kawa',n,"wajan, kuali besar",large frying pan,,,,,
kolumpang,n,"lumpang, lesung",mortar,,,,,
ponunusuk,n,"sujen, penusuk",skewer,susuk,,,,
tutuan rampa,n,cobek,bowl for grinding spices,tutu,,,,
kinsaran,n,kisaran,grinder (spices),,,,,
ponginsaran,n,penggiling,grinder (meat),kinsaran,,,,
sasakan,n,sup,soup,,,,,
kanon,n,nasi,cooked rice,,,,,
tinimbu,n,ketupat,rice steamed in basket of coconut leaves,timbu,,lamban,,
lamban,n,ketupat,rice steamed in basket of coconut leaves,,,tinimbu,,
kanon linopot,n,lontong,cooked rice wrapped in banana leaf,,,,,
kanon guring,n,nasi goreng,fried rice,,,,,
kanon silou,n,nasi kuning,yellow rice,,,,,
lakatan,n,"pulut, ketan",sticky rice,,,,,
tinapung,n,lemper,steamed sticky rice with meat (wrapped in banana leaf),,,,,
gandum,n,jagung,corn,,,jagung,,
jagung,n,jagung,corn,,,gandum,,
natok,n,sagu,sago,,,,,
kinubol,n,sagu buluh,sago cooked in bamboo,,,,,
tumpi,n,sagu bakar,baked sago,,,,,
bubur pinantung,n,papeda,sago porridge,pantung,,,,
ruti',n,roti,bread,,,,,
kana kala',n,ikan asin,salty fish,,,,,
taupu,n,tauhu,tofu (bean curd),,,,,
taupu,n,tempe,fermented soybean cake,,,,,
sati,n,"sate, satih",satay,,,,,
rinapa',n,gulai,curry soup,rapa',,,,
bakari,n,rendang,spicy meat and coconut dish,kari,,,,
lumpi,n,lumpia,spring roll / pastry filled with meat/veg,,,,,
sinambal,n,gado-gado,vegetable salad with peanut sauce,sambal,,,,
sambal,n,acar,pickles (with vinegar),,,,,
sutu,n,soto,meat soup,,,,,
korupuk,n,keropok,crackers / chips,,,,,
linugu do kana',n,ikan bakar,grilled fish,lugu,,,,
binulugu do ansi kana',n,bakso (?),fishballs (lit: pounded fish meat),lugu,,,,
kuui,n,kuih,"cake, snack",,,,,
dinawar,n,acar,pickled fish,,,,,
lunok rinapa',n,kuah,"sauce, gravy",rapa',,sasakan,,
sasakan,n,kuah,"sauce, gravy",,,lunok rinapa',,
bubur,n,bubur,"cooked cereal, porridge",,,,,
mi guring,n,mi goreng,fried noodles,,,,,
kupi',n,kopi,coffee,,,,,
gula-gula',n,gula-gula,"candy, sweets",,,,,
manuk panggang,n,opor ayam,seasoned baked chicken,,,,,
dudungu' guring,n,pisang goreng,fried banana,,,,,
dadar,n,dadar,omelet,,,,,
minirusod do kana',n,lauk-pauk,side dishes (to accompany rice),rusod,,,,
usi',n,garam,salt,,,,,
lado kabun,n,"lada, merica",pepper,,,,,
gula' purak,n,gula pasir,white sugar,,,,,
gula' malaka/maria',n,gula merah,brown sugar,,,,,CHECK_LX
sagumau,n,serai,lemon grass,,,,,
umau,n,minyak,oil,,,,,
suka,n,cuka,vinegar,,,,,
paa,n,madu,honey,,,,,
kisap amis,n,kicap manis,sweet soy sauce,,,,,
kisap asin,n,kicap asin,salty soy sauce,,,,,
lado podos,n,"cili, lombok, cabai",red pepper (chilli and cayenne),,,,,
layo,n,halia,ginger,,,,,
ambawang,n,bawang,onion,,,,,
katumbar,n,ketumbar,coriander,,,,,
ambawang purak,n,bawang putih,garlic,,,,,
kulit ipun,n,"belacan, terasi",shrimp paste,,,mumuk ipun,,
mumuk ipun,n,"belacan, terasi",shrimp paste,,,kulit ipun,,
onsom jawa,n,asam,tamarind,,,,,
gintan puti,n,jintan putih,cumin,,,,,
gintan hitam,n,jintan hitam,caraway seeds,,,,,
kayu manis,n,kayu manis,cinnamon,,,,,
kamiri,n,kemiri,candlenut,,,,,
kunyit,n,"kunyit, kunir","turmeric, saffron",,,,,
paala,n,pala,nutmeg,,,,,
bunga cangki,n,cengkih,clove,,,,,
sasad,n,ragi,yeast,,,,,
tangkai lado,n,cabai rawit,cayenne pepper / bird's eye chili,,,,,
betsin,n,vet sin,monosodium glutamate (MSG),,,,,
santan,n,santan,coconut milk,,,,,
linsou adas,n,biji adas,anise,,,,,
kamangi,n,kemangi,basil,,,,,
kari,n,kari,curry,,,rampa,,
rampa,n,kari,curry,,,kari,,
mustad,n,bijisawi,mustard,,,,,
langkuas,n,lengkuas,"alpinia, greater galanga",,,,,
mangakan,,makan,to eat,akan,,,,
manyapa',,mengunyah,to chew,sapa',,,,
mokogulon,,tercekik,to choke,gulon,,,,
naasug,,kenyang,full,asug,,,,
louson,n,lapar,hungry,,,,,
monongiwog,n,haus,thirsty,iwog,,,,
kalaan,n,candu akan,appetite,kala',,,,
monginum,,minum,to drink,inum,,,,
makanan,n,makanan,meal,akan,,,,
makan monini',n,makanan ringan,snack,,,,,
modoot,n,lahap,glutton,doot,,,,
dawa' makan,n,nafsu makan,appetite,,,,,
monolon,,menelan,to swallow,tolon,,,,
monyumad,,memberi makan,to feed,sumad,,,,
mongirup,,"menghirup, menghisap","to sip, suck",irup,,monosop,monyiop,
monosop,,"menghirup, menghisap","to sip, suck",sosop,,mongirup,monyiop,
monyiop,,"menghirup, menghisap","to sip, suck",(a)siop?,,mongirup,monosop,
roso,n,rasa,taste,,,,,
mogidang,,menghidangkan,"to serve, dish out",idang,,,,
momoroso,,mencicipi,to taste,roso,,,,
makan mosuab,n,"sarapan, makan pagi",breakfast,akan,,,,
makan tangadou,n,makan tengahari,lunch,akan,,,,
makan morondom,n,makan malam,evening meal,akan,,,,
mongirup,,minum dengan rakus,to guzzle,irup,,,,
mongingoi',,menghabiskan,to eat up,,"oi', ai'",,,
mongokot,,menggigit,"to bite, nibble",kokot,,,,
makan basar,n,"pesta, makan besar",feast,akan,,,,
idang,n,hidangan,serving,,,,,
naalu-alu,n,sisanya,leftovers,alu,,,,
ringkat,n,sajian,"dish, food",,,,,
moroso,n,"sedap, enak, lazat",delicious,roso,,sadap,,
sadap,n,"sedap, enak, lazat",delicious,,,moroso,,
maamis,,manis,sweet,amis,,,,
maasin,,asin,salty,asin,,,,
kiumau,n,berminyak,oily,umau,,,,
moonsom,,asam,sour,onsom,,,,
mopait,,pahit,bitter,pait,,,,
mopodos,n,pedas,hot (spicy),podos,,,,
naansak,n,masak,ripe / cooked,ansak,,,,
nobuntung,n,busuk,"rotten, spoiled",buntung,,,,
malanut,n,liat,tough (meat),lanut,,,,
malami',n,empuk,tender,lami',,matapu,,
matapu,n,empuk,tender,tapu,,malami',,
ganggarung,n,garing,"crunchy, crisp",,,,,
satanga masak,n,setengah masak,rare (meat) / half-cooked,,,,,
maanau,n,"tawar, hambar","tasteless, flat",,,koiso roso,,
koiso roso,n,"tawar, hambar","tasteless, flat",,,maanau,,
roso,n,rasa,taste,,,,,
nounos,n,"berlapuk, apak","stale, musty, mouldy",unos,,,,
kiowou do lisun,n,berasa asap,smoky,,"owou, lisun",,,
sumaga',,"menyukai, menikmati","to enjoy, relish",saga',,umaso,,
umaso,,"menyukai, menikmati","to enjoy, relish",aso,,sumaga',,
mopolombon,n,mengemukkan,"rich, fattening",lombon,,,,
maparot,n,"tengik, perat",rancid,parot,,,,
sigup,n,"tembakau, sigup",tobacco,,,,,
sigirit,n,rokok,cigarette,,,sogirit,,
sogirit,n,rokok,cigarette,,,sigirit,,
monyigup,,merokok,to smoke,sigup,,,,
porumpud,n,puntung rokok,cigarette butt,,,,,
sigupan,n,paip,pipe,,,,,
monyiop,,menghisap,to inhale / to smoke,siop,,,,
kirai karatas,n,kertas rokok,cigarette paper,,,,,
popoambus do lisun,,mengepulkan asap,to blow smoke,ambus,,,,
sugi,n,sugi,tobacco quid,,,,,
surut,n,cerut,cigar,,,,,
pinang,n,pinang,areca palm,,,,,
apug,n,kapur,lime (mineral),,,,,
daing,n,sirih,betel plant,,,puun daing,,
puun daing,n,sirih,betel plant,,,daing,,
daun daing,n,daun sirih,betel leaf,,,,,
buah pinang,n,buah pinang,areca nut,,,,,
moginggat,,makan sirih,to chew betel nut,inggat,,,,
tuak,n,tuak,palm wine,,,,,
bir,n,bir,beer,,,,,
arak anggur,n,wine,wine,,,,,
sasad,n,ragi,yeast,,,,,
naauk,n,mabuk,drunk,,,,,
waris-waris,n,"sanak saudara, sanak keluarga",relatives,,,,,
paganakan,n,keluarga,family,anak,,,,
turunan,n,keturunan,descendant,,,,,
kusoi,n,"lelaki, laki-laki",male,,,,,
andu',n,"wanita, perempuan",female,,,,,
motuo,,tua,old,tuo,,,,
momulok,n,muda,young,mulok,,,,
pogingkurangan do kaanakan,n,perancangan keluarga,family planning,,"kurang, anak",,,
ina',n,"emak, ibu",mother,,,,,
ama',n,"bapa, ayah",father,,,,,
motutuo,n,orang tua,parents,,tuo (motutuo),ina' ama',,
ina' ama',n,orang tua,parents,,,motutuo,,
mamaganak,,mengasuh anak,to raise children,anak,,,,
komotutuaan,n,nenek moyang,ancestors,tuo,,,,
atud do andu,n,moyang perempuan,great-grandmother,atud,,,,
atud do kusoi,n,moyang laki-laki,great-grandfather,atud,,,,
adu',n,nenek,grandmother,,,,,
aki,n,datuk,grandfather,,,,,
maman,n,"pakcik, bapa saudara",uncle,,,,,
sulod ama' momulok,n,"bapa cik, bapa muda",father's younger brother,,,maman,,
maman,n,"bapa cik, bapa muda",father's younger brother,,,sulod ama' momulok,,
minan,n,"makcik, mak saudara",aunt,,,,,
minan upus,n,"makcik, mak muda",mother's younger sister,,,minan momulok,,
minan momulok,n,"makcik, mak muda",mother's younger sister,,,minan upus,,
iwan do andu',n,ibu mertua,mother-in-law,iwan,,,,
iwan do kusoi,n,bapa mertua,father-in-law,iwan,,,,
boisan,n,besan,relationship of parents whose children are married to each other,,,,,
along,n,ipar perempuan,"sister-in-law (for man), sister- or brother-in-law (for woman)",,,,,
gasi',n,ipar laki-laki,brother-in-law (for man),,,,,
anak mongiwan do andu',n,menantu perempuan,daughter-in-law,iwan,,,,
anak mongiwan do kusoi,n,menantu laki-laki,son-in-law,iwan,,,,
aka' do kusoi,n,abang,older brother,aka',,abang,,
abang,n,abang,older brother,,,aka' do kusoi,,
sulod momulok,n,adik laki-laki,younger brother,,,,,
aka' do andu',n,kakak,older sister,aka',,,,
sulod momulok do andu',n,adik perempuan,younger sister,,,,,
pinsan/sulod do kusoi,n,saudara laki-laki,brother / male cousin,,,,,CHECK_LX
pinsan/sulod do andu',n,saudara perempuan,sister / female cousin,,,,,CHECK_LX
sopinsan koinsan,n,saudara sepupu,(first) cousin,,,,,
anak,n,anak,child,,,,,
anak motuo,n,anak sulung,oldest child,tuo,,,,
anak upus,n,anak bongsu,youngest child,upus,,,,
anak ragang,n,bayi,baby (lit: red child),,,,,
anak kampang,n,anak tak sah,illegitimate child,,,,,
anak koasi-asi,n,anak yatim-piatu,orphan,,,,,
lalangai,n,anak muda,young child,,,,,
langai-langai,n,remaja,adolescent,,,,,
milaalangai,n,pemuda,teenage boy,langai,,,,
misusumandak,n,pemudi,teenage girl,sumandak,,,,
motutuo,n,dewasa,adult,tuo,,,,
kamanakon do andu',n,kemanakan perempuan,niece,anak,,,,
kamanakon do kusoi,n,kemanakan laki-laki,nephew,anak,,,,
muaki',n,cucu (dari datuk),grandchild (of grandfather),aki',,,,
muadu',n,cucu (dari nenek),grandchild (of grandmother),adu',,,,
sawo andu',n,"isteri, bini",wife,sawo,,,,
sawo kusoi,n,"suami, laki",husband,sawo,,,,
kumawin,,"menikah, kahwin",to marry,kawin,,,,
nokopiada',,bercerai,divorced,ada',,,,
kusoi puod,n,"duda, balu",widower,puod,,,,
andu' puod,n,"janda, balu",widow,puod,,,,
aku,n,saya,I,,,,,
okou,n,"engkau, kamu",you (sg.),,,,,
isio,n,dia,"he, she",,,,,
takau,n,kita,we (inclusive),,,,,
akai,n,kami,we (exclusive),,,,,
ikito,n,kita berdua,we two (inclusive),,,,,
isiro,n,mereka,they,,,,,
kosulodo' kau ngoi',n,"saudara-saudara, saudara sekalian",you (pl. formal),,,,,
akau,n,kamu sekalian,you (pl. familiar),,,,,
i aki,n,beliau,"he, she (respectful/elder)",aki,,i adu',,
i adu',n,beliau,"he, she (respectful/elder)",adu',,i aki,,
kampung,n,"kampung, desa",village,,,,,
kuta',n,bandar,city,,,,,
kokompungan,n,daerah kecil,subdistrict,kampung,,,,
pagun,n,daerah,district,,,,,
ianan,n,wilayah,"region, province",,,,,
pomogunan,n,negara,country,pagun,,,,
nogiri',n,negeri,state,,,,,
dangan mamagun,n,rumahtangga,household,,,,,
timpan,n,tetangga,neighbor,,,,,
koisaan sotimpan,n,rukun tetangga,neighborhood association,,"iso, timpan",,,
ulun kirogo,n,orang penting,important person,,,,,
rasmi,n,rasmi,official,,,,,
kaa rasmi,n,tidak rasmi,unofficial,,,,,
kogumuan nu ulun,n,orang ramai,"people, public",gumu',,,,
raja',n,raja,king,,,,,
mahkuta,n,mahkota,crown,,,,,
porosidin,n,presiden,president,,,,,
gobonor,n,gabenur,governor,,,,,
pagawai nu pagun,n,pegawai daerah,district officer,pagun,,,,
numbur dua nu pagawai,n,penolong pegawai daerah,assistant district officer,,,,,
orang tua',n,ketua kampung,village chief,,,ketua kampung,,
ketua kampung,n,ketua kampung,village chief,,,orang tua',,
komontirian,n,kementerian,ministry,montiri,,mintiri-mintiri,,
mintiri-mintiri,n,kementerian,ministry,montiri,,komontirian,,
montiri,n,menteri,minister,,,,,
kotua upis,n,ketua pejabat,office head,,,,,
gugumaji',n,pegawai,official (person),gaji',,pagawai,,
pagawai,n,pegawai,official (person),,,gugumaji',,
kapala' pangadat,n,"kepala adat, kepala suku",tribal chief,,,,,
bansa',n,bangsa,nation / race,,,,,
pulitik,n,politik,politics,,,,,
nitib sip,n,ketua anak negeri,native chief,,,,,
montiri basar,n,perdana menteri,prime minister,,,,,
undang-undang,n,undang-undang / dasar,constitution / law,,,,,
porinta,n,kerajaan,government,,,,,
pomilian boundi,n,pilihanraya,election,pili',,,,
lumawan do parinta,n,revolusi,revolution,lawan,,,,
komardikaan,n,kemerdekaan,freedom / independence,,,,,
pajak,n,"cukai, pajak",taxes,,,,,
bandira,n,bendera,flag,,,,,
tanah air,n,tanah air,homeland,,,,,
suku bansa',n,suku bangsa,"ethnic group, tribe",,,,,
tinimungon,n,"kelompok, golongan",group,timung,,,,
kaum,n,kaum,clan,,,,,
bansa',n,bangsa,"race, nation",,,,,
ulun pandatang,n,orang asing,foreigner,,,,,
barasal intad,,berasal dari,to originate from,,,,,
kabangsaan,n,kebangsaan,nationality,,,,,
warga negara,n,warganegara,citizen,,,,,
bansa' nu Kadayan,n,suku kaum Kadazan,Kadazan ethnic group,,,,,
bansa' nu Bayou,n,suku kaum Bajau,Bajau ethnic group,,,,,
kopomoramaiian,n,hiburan,entertainment,ramai,,,,
karamaian,n,rekreasi,recreation / party,ramai,,,,
monombului,,mengunjungi,to visit,tombului,,,,
mapit,,"mampir, singgah",to drop by,apit,,,,
pirundingan,n,"perhimpunan, pertemuan",meeting,runding,,,,
borunding,,bertemu,to meet,runding,,,,
pati,n,pesta,party,,,,,
kapasaksian,n,upacara,ceremony,saksi',,,,
poponggilan,n,"jemputan, undangan",invitation,,,,,
tombului,n,tamu,"visitor, guest",,,,,
pomoinan,n,permainan,game,main,,,,
popotulud do kikik,,main layang-layang,to fly a kite,tulud,,,,
main pakau,,main kartu,to play cards,,,,,
bajudi,,berjudi,to gamble,judi,,,,
main mabol,,main guli/gundu,to play marbles,,,,,
miium-iium,n,main cari-carian,hide-and-go-seek,ium,,,,
poroyunan,n,ayunan,swing,,,,,
mongoriing,,berkelereng,to play with marbles,,,,,
tubau,n,gasing,spinning top,,,,,
satur,n,catur,chess,,,,,
misimbar-simbar,,"berbantah, berdebat",to argue,simbar,,,,
mangala,,bersaing,to compete,ala,,kumilawan,,
kumilawan,,bersaing,to compete,lawan,,mangala,,
manantang,,menentang,"to resist, protest",,,,,
batangkar-tangkaran,n,suka bertengkar,quarrelsome,,,,,
mapalad-palad,,"iri hati, dengki",to be jealous,palad,,,,
mamamaki',n,"tidak sopan, tidak hormat",insolent,paki',,,,
momorugi',,merugikan,to harm (materially),rugi',,,,
monyinduol,,melukai,"to harm, injure (physically)",duol,,,,
mongondot,,menindas,to oppress,ondot,,,,
montoro',,mengganggu,"to tease, annoy",toro',,,,
mominasa',,merosakkan,"to damage, destroy",binasa',,,,
mirantai,n,perdamaian,peace,,,,,
parang,n,perang,war,,,,,
piimangan,n,perkelahian,fight,imang,,piiwalan,,
piiwalan,n,perkelahian,fight,iwal,,piimangan,,
tantara',n,tentera,armed forces,,,,,
soujar,n,askar,soldier,,,,,
pangkat,n,pangkat,rank,,,,,
sinapang,n,senapang,"rifle, gun",,,,,
opisor,n,perwira,officer,,,,,
regu,n,"pasukan, regu",squad,,,,,
sanjata',n,senjata,weapon,,,,,
nosanjataan,n,bersenjata,armed,sanjata',,,,
andus,n,tombak,spear,,,tompuling,,
tompuling,n,tombak,spear,,,andus,,
padang,n,pedang,sword,,,,,
pisau,n,pisau,knife,,,,,
sandung,n,parang,bush knife,,,,,
pana',n,panah,bow and arrow,,,pomana',,
pomana',n,panah,bow and arrow,,,pana',,
piluru,n,peluru,bullet,,,,,
mamadil,,menembak,to shoot,badil,,,,
popodagang,,mengkhianati,to betray,dagang,,,,
monyolinu,,mengintai,to spy,solinu,,,,
monyarang,,menyerang,to attack,sarang,,,,
komanangan,n,kemenangan,victory,manang,,,,
rinampasan,n,rampasan,"loot, booty",rampas,,,,
korban,n,korban,victim,,,,,
benteng,n,benteng,fortress,,,,,
mamarakop,,menawan,to capture,rakop,,,,
mangadang,,mengadang,to ambush,adang,,,,
tumingkod,n,gencatan senjata,cease-fire,tingkod,,kotingkadan mamadil,,
kotingkadan mamadil,n,gencatan senjata,cease-fire,badil,,tumingkod,,
mundur,,mundur,to retreat,,,,,
janji' do pirantayan,n,perjanjian perdamaian,peace treaty,,,,,
ukuman,n,hukum,law,ukum,,,,
koubasan,n,adat,"custom, traditional law",ubas,,adat,,
adat,n,adat,"custom, traditional law",,,koubasan,,
adat koubasanan,n,adat istiadat,various traditional laws,ubas,,,,
luyar,n,"loyar, peguam",lawyer,,,,,
pombisaraan,n,pengadilan,"court, trial",bisara',,,,
monondos,,menuduh,to accuse,tondos,,,,
nadawa',n,terdakwa,defendant,dawa',,,,
kotandas-tandasan,n,tuduhan palsu,false accusation,tondos,,,,
yang patut,n,hak asasi,basic rights,,,,,
undang-undang,n,undang-undang,"law, ordinance",,,,,
mongukum,,menghukum,"to punish, sentence",ukum,,manyala',,
manyala',,menghukum,"to punish, sentence",sala',,mongukum,,
momogugur do ukuman,,menjatuhkan hukuman,to pronounce sentence,gugur,,,,
momolanggar do ukum,,melanggar hukum,to break the law,langgar,,,,
tuan akim,n,hakim,judge,,,,,
mangadili,,"menghakimi, mengadili",to judge,,,,,
mopolapas,,membebaskan,to acquit,lapas,,,,
momomadawa',n,jaksa,prosecutor,dawa',,,,
pojiilan,n,"penjara, jel",prison,jiil,,,,
orang sala',n,orang hukuman,prisoner,,,ulun poinjiil,,
ulun poinjiil,n,orang hukuman,prisoner,,,orang sala',,
momobog,,memukul,to beat,bobog,,,,
ukuman baasut,n,hukuman badani,corporal punishment,,"ukum, asut",,,
sumangsara',,menderita,to suffer,sangsara',,,,
rantai,n,rantai,chains,,,,,
poilabus,n,bebas,free,labus,,,,
mamajaga',,"menjaga, mengawal",to guard,jaga',,,,
mambayar do korugian,,membayar kerugian,to pay damages,,"bayar, rugi",,,
mambalas dandam,,"menuntut bela, membalas dendam",to avenge,balas,,,,
juri,n,juri,jury,,,,,
sasi',n,saksi,witness,,,saksi,,
saksi,n,saksi,witness,,,sasi',,
kurungan ulun kisala',n,sel,cell,sala',,,,
mangakun,,mengaku,to confess,akun,,,,
karaatan,n,"jenayah, kejahatan",crime,raat,,,,
kasalaan maraat,n,"kesalahan jenayah, pidana",criminal,sala',,,,
parkara,n,perkara,legal case,,,,,
mandawa',,"mendakwa, menggugat",to sue / to prosecute,dawa',,,,
jiilan,,menjalani (hukuman),to serve (sentence),jiil,,,,
pamainan kasti,n,permainan kasti,softball-like game,main,,,,
buul,n,bola,ball,,,guul,,
guul,n,bola,ball,,,buul,,
bobobog,n,"pemukul, reket","bat, racket",bobog,,,,
lumba',n,"sukan, olahraga",sports,,,,,
kolulumbaan,n,lapangan olahraga,playing field,lumba',,,,
silat,n,silat,martial art,,,,,
momukut,,meninjau,to box,bukut,,,,
kukumibukut,n,petinju,boxer,bukut,,poninju,,
poninju,n,petinju,boxer,,,kukumibukut,,
patandingan,n,pertandingan,match,,,,,
ibul-ibul,n,bola voli,volleyball,,,,,
pimpong,n,pingpong,table tennis,,,,,
sumadui,,berenang,to swim,sadui,,,,
kolam sasaduyan,n,kolam renang,swimming pool,sadui,,,,
bola sipak,n,"bolasepak, sepak bola","football, soccer",,,,,
tiim mimbuul,n,kesebelasan,football team,,,,,
bulu tangkis,n,"bulu tangkis, badminton",badminton,,,,,
raket,n,reket,racket,,,,,
lumba',n,perlumbaan,"competition, race",,,,,
rikatan santaban,n,saingan,rival,,,,,
momalawan,,bersaing,to compete,lawan,,,,
popilumba',,berpacu,to race (animals),lumba',,,,
pangadil,n,"pengadil, wasit",referee,,,,,
lululumbumba',n,"olahragawan, atlit",athlete,lumba',,,,
adia,n,hadiah,prize,,,parais,,
parais,n,hadiah,prize,,,adia,,
tiim,n,regu,team,,,,,
pamanang,n,"johan, pemenang, juara","champion, winner",manang,,,,
piala,n,piala,cup,,,,,
torumpit,n,peluit,whistle,,,,,
hiburan,n,hiburan,recreation,,,,,
buul bakul,n,bola keranjang,basketball,,,,,
angka',n,"mata, angka",score,,,,,
mongangka',,membuat angka,to score,angka',,,,
Spiritu Kitua,n,Roh Kudus,Holy Spirit,,,,,
Kinoringan,n,Allah,God,,,,,
Tuan,n,Tuhan,Lord,,,,,
rogon,n,Iblis,"Devil, Evil Spirit",,,iblis,,
iblis,n,Iblis,"Devil, Evil Spirit",,,rogon,,
malaikat,n,malaikat,angel,,,,,
naraka,n,neraka,hell,,,,,
kakal,n,kekal,eternal,,,salajur,,
salajur,n,kekal,eternal,,,kakal,,
koposion salajur,n,hidup yang kekal,eternal life,posion,,,,
ombiriwo,n,jiwa,soul,,,,,
mamangun do pomogunan,,menciptakan bumi,to create the world,bangun,,,,
mosundu,n,mukjizat,miracle,,,,,
momuji,,memuji,to praise,puji,,,,
sumamba,,"berbakti, beribadah",to worship,samba,,,,
dusa',n,dosa,sin,,,douso,,
douso,n,dosa,sin,,,dusa',,
mangakun,,mengaku,to confess,akun,,,,
sumambayang,,berdoa,to pray,sambayang,,mokiinsian,,
mokiinsian,,berdoa,to pray,sian,,sumambayang,,
mogumboyo',,percaya,to believe,umboyo',,,,
pogumbayaan,n,iman,faith,umboyo',,,,
Wowoyoon,n,Mahakuasa,Almighty,waya,,,,
kitua,n,"kudus, suci",holy,,,,,
mogugumboyo',n,orang beriman,faithful (person),umboyo',,,,
sangti,n,"orang kudus, orang suci",saint,,,,,
Protestan,n,Protestan,Protestant,,,,,
Kotolik,n,Katolik,Catholic,,,Katulik,,
Katulik,n,Katolik,Catholic,,,Kotolik,,
garija',n,gereja,church,,,,,
kaajaran,n,khotbah,sermon,ajar,,,,
mongajar,,berkhotbah,to preach,ajar,,,,
kasasian,n,kesaksian,testimony,sasi,,,,
wara',n,wahyu,revelation,,,,,
ponginjil,n,penginjil,evangelist,injil,,,,
paado,n,"pendita, gembala, paderi","pastor, priest",,,padri,,
padri,n,"pendita, gembala, paderi","pastor, priest",,,paado,,
popopoabar do injil,n,"pengabar injil, utusan injil",missionary,,"abar, injil",,,
surga',n,syurga,heaven,,,,,
Papa',n,paus,pope,,,,,
boros nu Tuhan,n,injil,gospel (lit: Word of God),,,,,
Buuk kitua,n,Alkitab,Bible,,,Kitab,,
Kitab,n,Alkitab,Bible,,,Buuk kitua,,
salip,n,salib,cross,,,,,
grasia,n,anugerah,grace,,,,,
ayat,n,ayat,verse,,,,,
baab,n,bab,chapter,,,,,
salamat,n,selamat,safe / saved,,,mapasi,,
mapasi,n,selamat,safe / saved,pasi,,salamat,,
Momomasi,n,Juru Selamat,Savior,pasi,,,,
monobus,,menebus,to redeem,tobus,,,,
tumungag intad naatoi,,bangkit,to rise from the dead,tungag,,,,
kotungagan intad poimpatoi,n,kebangkitan,resurrection,tungag,,,,
tumongob,,bertobat,to repent,tongob,,,,
marayou,n,kemuliaan,glory,rayou,,,,
anakon lagi',,dilahirkan lagi,to be born again,anak,,,,
Makan Tuhan,n,perjamuan suci,Lord's supper,,,,,
do ombiriwo,n,rohani,spiritual,,,,,
poimpomogunan,n,duniawi,worldly,pomogunan,,,,
kopoiadan,n,perumpamaan,parable,iad,,porumpamaan,tansilan,
porumpamaan,n,perumpamaan,parable,,,kopoiadan,tansilan,
tansilan,n,perumpamaan,parable,,,kopoiadan,porumpamaan,
guminawo do Kinoringan,,kasih sayang Allah,to love God,ginawo,,,,
barakat,n,berkat,blessing,,,,,
Boros nu Kinoringan,n,Firman Allah,Word of God,,,,,
kosianan,n,rahmat,"mercy, pity",sian,,,,
pambalasan,n,upah dosa,wages of sin,balas,,,,
ukuman,n,hukuman,judgment,ukum,,,,
